epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.448,1.36487,2.27996,1.24091,0.8578,0.51217,0.70574,0.40407,1.23992,2.41956,1.06012,0.00052,0.00052,0.00052
2,459.955,1.34437,1.30676,1.13824,0.82303,0.69324,0.77184,0.4845,1.21617,1.56745,1.06187,0.00100753,0.00100753,0.00100753
3,677.124,1.32124,1.18982,1.11634,0.78879,0.75012,0.80732,0.49937,1.22875,1.82718,1.06003,0.0014416,0.0014416,0.0014416
4,894.008,1.30321,1.11815,1.11413,0.76723,0.76459,0.82432,0.53363,1.14219,1.91664,1.02578,0.001703,0.001703,0.001703
5,1112.11,1.2642,1.0693,1.10897,0.81554,0.81472,0.86868,0.57147,1.09565,1.53345,0.98111,0.001604,0.001604,0.001604
6,1330.93,1.26792,1.02797,1.09587,0.82911,0.80174,0.87841,0.5743,1.09455,1.78792,0.99315,0.001505,0.001505,0.001505
7,1548.83,1.25597,1.03432,1.10715,0.81498,0.83406,0.88744,0.58811,1.06597,1.75846,0.98103,0.001406,0.001406,0.001406
8,1764.63,1.23446,1.00939,1.09249,0.86001,0.8273,0.90666,0.59634,1.05198,1.31557,0.96101,0.001307,0.001307,0.001307
9,1979.66,1.27404,0.97612,1.07788,0.84895,0.84317,0.90652,0.60212,1.03084,1.36476,0.97173,0.001208,0.001208,0.001208
10,2196.36,1.19996,0.93307,1.07414,0.85601,0.83116,0.90788,0.61296,1.04369,1.11474,0.97428,0.001109,0.001109,0.001109
11,2407.31,1.16439,0.98202,1.06322,0.85519,0.83755,0.90662,0.62425,1.03589,1.10113,0.9554,0.00101,0.00101,0.00101
12,2618.11,1.12731,0.95308,1.04639,0.84486,0.82749,0.9032,0.63431,0.98568,1.07453,0.94803,0.000911,0.000911,0.000911
13,2832.42,1.12528,0.89294,1.05121,0.8523,0.84033,0.91404,0.62248,0.99978,1.09804,0.94271,0.000812,0.000812,0.000812
14,3049.46,1.11283,0.84842,1.02646,0.86514,0.84901,0.92035,0.63545,0.97051,1.08449,0.92988,0.000713,0.000713,0.000713
15,3260.28,1.08193,0.82917,1.02302,0.87568,0.84612,0.92884,0.65107,0.96773,0.96602,0.92997,0.000614,0.000614,0.000614
16,3469.74,1.1149,0.82791,1.05282,0.86949,0.86397,0.93323,0.65848,0.95346,0.93367,0.9288,0.000515,0.000515,0.000515
17,3682.39,1.06435,0.80977,1.02261,0.86859,0.85866,0.92501,0.64682,0.93952,0.89999,0.91682,0.000416,0.000416,0.000416
18,3895.25,1.07529,0.79399,1.01145,0.87779,0.87658,0.9408,0.6679,0.92541,0.87618,0.91116,0.000317,0.000317,0.000317
19,4105.22,1.01219,1.47141,0.98175,0.89005,0.87506,0.94439,0.6798,0.91187,0.8619,0.90839,0.000218,0.000218,0.000218
20,5338.57,1.02745,0.76926,1.00259,0.88758,0.8712,0.94476,0.67873,0.90399,0.84079,0.90651,0.000119,0.000119,0.000119
