epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.856,1.40152,2.16867,1.29359,0.88593,0.26586,0.60327,0.36436,1.363,2.39359,1.23258,0.00056,0.00056,0.00056
2,569.764,1.34865,1.38215,1.19489,0.80405,0.65061,0.74274,0.46614,1.32131,1.6623,1.21093,0.00111743,0.00111743,0.00111743
3,840.623,1.29696,1.25235,1.17459,0.75736,0.63727,0.7263,0.43403,1.38224,1.52021,1.28911,0.00165189,0.00165189,0.00165189
4,1111.83,1.27516,1.19645,1.16044,0.77676,0.75577,0.81029,0.53553,1.22816,1.23223,1.15799,0.0018812,0.0018812,0.0018812
5,1384.4,1.24937,1.12526,1.1609,0.74211,0.75804,0.80405,0.52191,1.21158,1.34501,1.15002,0.0018416,0.0018416,0.0018416
6,1654.82,1.24802,1.12921,1.15037,0.81503,0.78236,0.85568,0.56063,1.20283,1.12735,1.15716,0.001802,0.001802,0.001802
7,1930.55,1.26838,1.08697,1.13615,0.82546,0.80408,0.87544,0.56763,1.21804,1.09478,1.15676,0.0017624,0.0017624,0.0017624
8,2266.06,1.2277,1.05549,1.13681,0.82674,0.83319,0.89174,0.59279,1.20907,0.98735,1.16351,0.0017228,0.0017228,0.0017228
9,2540.77,1.23596,1.02414,1.1486,0.84162,0.82363,0.89952,0.6074,1.1592,0.96161,1.11833,0.0016832,0.0016832,0.0016832
10,2816.08,1.21173,0.95085,1.12554,0.8581,0.81407,0.89261,0.60936,1.16257,0.94753,1.11289,0.0016436,0.0016436,0.0016436
11,3086.8,1.17133,0.92353,1.11668,0.86614,0.77976,0.88905,0.60171,1.14829,0.978,1.12434,0.001604,0.001604,0.001604
12,3253.11,1.17495,0.91453,1.11499,0.86134,0.84361,0.91184,0.61623,1.13954,0.879,1.10648,0.0015644,0.0015644,0.0015644
13,3406.82,1.19149,0.93844,1.12192,0.87874,0.83108,0.91583,0.62676,1.11536,0.88029,1.10942,0.0015248,0.0015248,0.0015248
14,3558.93,1.13668,0.89876,1.09997,0.83724,0.86032,0.91064,0.62555,1.09381,0.85706,1.09764,0.0014852,0.0014852,0.0014852
15,3709.61,1.16537,0.89038,1.12026,0.87313,0.8649,0.92817,0.64611,1.08524,0.81219,1.09278,0.0014456,0.0014456,0.0014456
16,3861.15,1.13776,0.84143,1.09764,0.86331,0.88067,0.93285,0.65491,1.07235,0.77866,1.07502,0.001406,0.001406,0.001406
17,4012.6,1.10948,0.8382,1.0938,0.84706,0.8662,0.92267,0.64469,1.07741,0.79774,1.07893,0.0013664,0.0013664,0.0013664
18,4158.94,1.12814,0.83301,1.08621,0.88939,0.87446,0.94065,0.67592,1.03197,0.73023,1.05848,0.0013268,0.0013268,0.0013268
19,4300.48,1.0998,0.80778,1.0836,0.87299,0.88141,0.94,0.64906,1.07916,0.75229,1.08156,0.0012872,0.0012872,0.0012872
20,4440.56,1.06922,0.78618,1.06178,0.89155,0.85925,0.94026,0.67888,1.02754,0.75009,1.05577,0.0012476,0.0012476,0.0012476
21,4580.18,1.10186,0.78663,1.07966,0.88433,0.84752,0.92703,0.6308,1.12253,0.78542,1.09183,0.001208,0.001208,0.001208
22,4730.92,1.08781,0.76805,1.09157,0.88672,0.85491,0.93673,0.67535,1.02654,0.73185,1.06866,0.0011684,0.0011684,0.0011684
23,4881.9,1.06278,0.7448,1.06769,0.90235,0.87908,0.94888,0.66918,1.03005,0.69788,1.06785,0.0011288,0.0011288,0.0011288
24,5026.72,1.09724,0.75147,1.08561,0.89374,0.88057,0.94639,0.68181,1.01745,0.69454,1.04307,0.0010892,0.0010892,0.0010892
25,5167.49,1.06805,0.74489,1.05384,0.89893,0.89791,0.95675,0.69806,0.98099,0.64949,1.03946,0.0010496,0.0010496,0.0010496
26,5306.61,1.06524,0.72216,1.03741,0.9063,0.87967,0.95321,0.69285,0.97327,0.68756,1.03101,0.00101,0.00101,0.00101
27,5445.02,1.0029,0.71019,1.04025,0.90748,0.90313,0.9591,0.71593,0.94036,0.62799,1.02356,0.0009704,0.0009704,0.0009704
28,5583.96,1.0327,0.70746,1.05427,0.90881,0.87882,0.95463,0.70719,0.95629,0.64547,1.0217,0.0009308,0.0009308,0.0009308
29,5723.92,1.026,0.69428,1.03639,0.88164,0.91895,0.95855,0.70839,0.93442,0.61613,1.01063,0.0008912,0.0008912,0.0008912
30,5864.91,1.01469,0.67917,1.04495,0.89291,0.90914,0.9586,0.70382,0.97255,0.61705,1.02036,0.0008516,0.0008516,0.0008516
31,6004.78,1.0012,0.68143,1.02265,0.90543,0.91573,0.96229,0.71725,0.91392,0.60467,0.99694,0.000812,0.000812,0.000812
32,6145.72,0.98754,0.65258,1.02467,0.92178,0.91125,0.96618,0.72156,0.91749,0.5865,1.00449,0.0007724,0.0007724,0.0007724
33,6285.3,0.98468,0.65126,1.03212,0.90747,0.92871,0.96765,0.72631,0.93107,0.58933,1.00857,0.0007328,0.0007328,0.0007328
34,6427.66,0.94683,0.62888,1.01926,0.91988,0.9177,0.96755,0.72465,0.93752,0.58449,1.0076,0.0006932,0.0006932,0.0006932
35,6566.59,0.97258,0.64853,1.02527,0.92257,0.92268,0.97082,0.73561,0.90203,0.551,0.99441,0.0006536,0.0006536,0.0006536
36,6711.99,0.98231,0.64213,1.02449,0.91496,0.93481,0.97124,0.73084,0.89753,0.56074,0.99131,0.000614,0.000614,0.000614
37,6863.38,0.94489,0.62168,1.0133,0.92483,0.92998,0.97229,0.7449,0.87226,0.54288,0.98581,0.0005744,0.0005744,0.0005744
38,7014.36,0.94731,0.61954,1.01901,0.92176,0.94164,0.97695,0.751,0.85607,0.52547,0.97589,0.0005348,0.0005348,0.0005348
39,7154.85,0.93978,0.61768,1.01358,0.9144,0.9444,0.97412,0.75003,0.86463,0.53246,0.97783,0.0004952,0.0004952,0.0004952
40,7295.57,0.93882,0.60349,1.01231,0.92585,0.93299,0.97622,0.75527,0.85685,0.52308,0.97424,0.0004556,0.0004556,0.0004556
41,7432.93,0.94255,0.62559,1.01534,0.9265,0.92268,0.97285,0.74322,0.88037,0.54516,0.98194,0.000416,0.000416,0.000416
42,7571.72,0.92693,0.60625,1.00434,0.92263,0.93243,0.9732,0.74996,0.85294,0.52857,0.97305,0.0003764,0.0003764,0.0003764
43,7708.94,0.91311,0.58226,0.99727,0.9315,0.94005,0.97819,0.75271,0.84766,0.51764,0.97062,0.0003368,0.0003368,0.0003368
44,7846.09,0.89825,0.57337,0.99932,0.9347,0.93962,0.97899,0.75445,0.84979,0.51881,0.97096,0.0002972,0.0002972,0.0002972
45,7984.11,0.90119,0.56126,0.99219,0.93817,0.94049,0.97884,0.76005,0.83533,0.50744,0.96546,0.0002576,0.0002576,0.0002576
46,8121.77,0.88017,0.54704,0.98463,0.94579,0.93982,0.98023,0.75859,0.83843,0.49296,0.96714,0.000218,0.000218,0.000218
47,8259.01,0.86151,0.53857,0.98088,0.94653,0.94309,0.98175,0.76505,0.81989,0.48397,0.95797,0.0001784,0.0001784,0.0001784
48,8397.17,0.87127,0.55017,0.98049,0.93475,0.95743,0.98264,0.77315,0.80744,0.4752,0.95462,0.0001388,0.0001388,0.0001388
49,8632.08,0.8736,0.54601,0.98841,0.9437,0.95178,0.98252,0.77408,0.79916,0.47125,0.9521,9.92e-05,9.92e-05,9.92e-05
50,8892.2,0.85558,0.53124,0.98281,0.93982,0.95656,0.98342,0.77498,0.79928,0.47207,0.95104,5.96e-05,5.96e-05,5.96e-05
